,Unnamed: 0,Length of longest word,Most common word Length,Occurence,Occurence %,Unique words in doc,no_words,no_useful_tokens,no_useless_tokens,noun %,verb %,adj %,pron %,adv %,prop %
0,ND0,27,9,442,17.51188589540412,,,,,,,,,,
1,ND1,28,9,429,18.419922713611,408.0,2283.0,2119.0,164.0,37.18735252477583,26.09721566776781,13.260972156677678,4.6720151014629545,15.478999528079283,3.3034450212364317
2,ND2,26,9,422,18.11936453413482,488.0,2355.0,2197.0,158.0,36.77742375967228,25.443786982248522,12.426035502958579,5.1433773327264465,17.159763313609467,3.0496131087847065
3,ND3,33,9,261,16.62420382165605,410.0,1606.0,1474.0,132.0,41.85888738127544,23.677069199457264,9.972862957937584,5.088195386702849,14.382632293080055,5.020352781546811
4,ND4,22,10,178,17.248062015503873,235.0,1032.0,1006.0,26.0,42.942345924453285,27.03777335984095,11.72962226640159,4.572564612326044,11.530815109343937,2.1868787276341948
5,ND5,32,9,683,18.805066079295155,646.0,3658.0,3310.0,348.0,42.356495468277934,24.531722054380666,12.326283987915408,4.410876132930514,14.380664652567976,1.9939577039274925
6,ND6,25,9,537,19.44243301955105,390.0,3034.0,2602.0,432.0,42.54419677171406,27.940046118370482,7.571099154496541,5.6495003843197535,9.723289777094543,6.571867794004612
7,ND7,22,9,319,17.33695652173913,271.0,1844.0,1724.0,120.0,39.96519721577726,23.37587006960557,11.020881670533642,4.408352668213457,13.051044083526685,8.178654292343388
8,ND8,34,11,893,15.886852873154242,626.0,5697.0,5337.0,360.0,45.36256323777402,23.08412966085816,11.373430766348136,4.1596402473299605,12.329023796140154,3.6912122915495593
9,ND9,26,9,397,16.666666666666664,379.0,2392.0,2287.0,105.0,43.72540445999125,20.72584171403585,12.811543506777436,4.984696108439002,13.686051595977267,4.066462614779186
10,ND10,35,9,613,17.788740568775392,556.0,3482.0,3191.0,291.0,42.93324976496396,22.06204951425885,9.777499216546536,3.7292384832340963,15.731745534315259,5.766217486681291
11,ND11,29,9,194,14.349112426035507,455.0,1360.0,1268.0,92.0,45.26813880126184,19.87381703470032,13.722397476340694,4.968454258675079,13.722397476340694,2.4447949526813884
12,ND12,26,9,384,16.834721613327492,434.0,2285.0,2174.0,111.0,43.92824287028519,23.229070837166514,11.775528978840844,5.105795768169274,12.741490340386386,3.219871205151794
13,ND13,24,9,180,19.845644983461963,255.0,907.0,868.0,39.0,45.04608294930875,21.774193548387093,9.7926267281106,4.9539170506912455,13.594470046082947,4.838709677419356
14,ND14,25,9,372,16.020671834625322,317.0,2344.0,2183.0,161.0,40.311497938616576,25.194686211635364,10.719193770041226,4.031149793861658,17.86532295006871,1.8781493357764545
15,ND15,31,9,356,15.116772823779195,437.0,2495.0,2069.0,426.0,45.04591590140164,23.247945867568873,6.6215563073948775,5.074915418076365,14.01643305944901,5.993233446109231
16,ND16,24,12,34,11.564625850340136,169.0,306.0,259.0,47.0,54.05405405405406,16.988416988416983,10.424710424710424,1.5444015444015444,10.810810810810812,6.177606177606178
17,ND17,28,9,542,17.811370358199145,517.0,3065.0,2871.0,194.0,39.32427725531174,21.03796586555207,14.942528735632186,3.2392894461859982,13.200975269940786,8.254963427377223
18,ND18,36,9,513,19.468690702087287,291.0,2643.0,2442.0,201.0,44.799344799344794,22.85012285012285,9.254709254709256,6.388206388206388,10.85176085176085,5.855855855855856
19,ND19,26,9,377,14.936608557844696,565.0,2560.0,2318.0,242.0,45.685936151855046,18.593615185504746,9.361518550474548,3.1924072476272647,11.432269197584127,11.734253666954269
20,ND20,26,9,349,17.48496993987976,370.0,1996.0,1924.0,72.0,46.41372141372141,23.440748440748443,9.355509355509355,4.261954261954262,11.902286902286903,4.625779625779626
21,ND21,28,9,289,17.35735735735736,421.0,1715.0,1580.0,135.0,42.151898734177216,24.556962025316448,12.468354430379748,4.746835443037975,10.949367088607595,5.1265822784810124
22,D0,25,11,164,17.40976645435244,302.0,,,,,,,,,
23,D1,27,9,34,17.0,95.0,200.0,190.0,10.0,47.89473684210525,26.315789473684212,11.578947368421053,3.1578947368421053,8.947368421052632,2.1052631578947367
24,D2,24,13,22,14.864864864864865,82.0,148.0,141.0,7.0,44.680851063829785,21.27659574468085,10.638297872340424,4.25531914893617,17.02127659574468,2.127659574468085
25,D3,27,11,27,13.300492610837441,120.0,203.0,187.0,16.0,57.219251336898395,22.994652406417114,10.16042780748663,3.2085561497326207,4.27807486631016,2.13903743315508
26,D4,23,11,46,8.766233766233766,169.0,314.0,295.0,19.0,44.067796610169495,23.05084745762712,14.915254237288135,5.7627118644067785,11.864406779661017,0.3389830508474576
27,D5,29,9,310,16.324381253291207,507.0,1903.0,1776.0,127.0,44.76351351351353,24.43693693693693,12.894144144144144,4.391891891891892,11.824324324324325,1.6891891891891893
28,D6,24,8,87,15.535714285714285,157.0,560.0,499.0,61.0,45.69138276553106,20.040080160320638,10.621242484969939,4.208416833667335,11.222444889779561,8.216432865731463
29,D7,23,9,31,15.897435897435894,100.0,199.0,183.0,16.0,33.879781420765035,27.86885245901639,13.114754098360656,6.557377049180328,15.846994535519125,2.7322404371584703
30,D8,25,10,299,18.17629179331307,262.0,1661.0,1581.0,80.0,47.691334598355475,24.161922833649587,10.120177103099305,4.6173308032890565,11.132194813409235,2.2770398481973437
31,D9,31,10,215,16.589506172839506,331.0,1300.0,1250.0,50.0,48.96,22.48,13.36,1.76,12.48,0.96
32,D10,26,9,51,17.770034843205572,100.0,287.0,242.0,45.0,49.586776859504134,16.115702479338847,8.677685950413224,4.545454545454546,8.264462809917356,12.8099173553719
33,D11,28,9,105,18.041237113402055,231.0,594.0,493.0,101.0,52.941176470588246,22.31237322515213,5.882352941176469,4.665314401622718,9.330628803245435,4.86815415821501
34,D12,25,9,46,15.91695501730104,134.0,293.0,278.0,15.0,46.762589928057544,28.057553956834532,5.755395683453237,3.5971223021582728,10.071942446043163,5.755395683453237
35,D13,25,9,85,19.859813084112147,180.0,432.0,405.0,27.0,44.93827160493828,26.17283950617284,9.629629629629632,3.2098765432098766,10.123456790123457,5.925925925925927
36,D14,25,9,201,20.385395537525355,304.0,1002.0,935.0,67.0,41.49732620320856,27.807486631016044,10.16042780748663,3.636363636363636,13.689839572192511,3.2085561497326207
37,D15,27,9,190,16.843971631205672,417.0,1136.0,1066.0,70.0,46.81050656660414,23.63977485928705,10.787992495309567,4.409005628517824,13.320825515947465,1.0318949343339587
38,D16,27,10,45,15.845070422535212,100.0,284.0,274.0,10.0,49.63503649635037,21.532846715328464,9.854014598540148,6.204379562043796,11.313868613138686,1.45985401459854
39,D17,22,9,107,23.010752688172044,199.0,469.0,436.0,33.0,47.018348623853214,21.100917431192666,14.449541284403667,4.816513761467889,11.009174311926609,1.6055045871559634
40,D18,54,9,1020,14.001372683596433,934.0,7375.0,6716.0,659.0,45.86063132817153,25.35735556879095,11.673615247170934,4.854079809410363,10.452650387135199,1.8016676593210244
41,D19,22,9,347,26.671790930053806,238.0,1305.0,1221.0,84.0,37.51023751023751,23.58722358722359,10.974610974610977,6.47010647010647,16.380016380016382,5.077805077805078
42,D20,20,7,95,14.570552147239265,154.0,668.0,523.0,145.0,50.2868068833652,18.54684512428298,11.089866156787762,6.309751434034416,11.281070745697894,2.48565965583174
43,D21,24,8,100,19.41747572815534,190.0,519.0,454.0,65.0,41.18942731277532,23.348017621145374,10.792951541850222,6.828193832599119,11.894273127753305,5.9471365638766525
44,D22,25,9,203,14.79591836734694,324.0,1372.0,1320.0,52.0,50.07575757575757,21.818181818181817,11.43939393939394,2.803030303030303,7.954545454545454,5.909090909090909
45,D23,31,11,59,17.611940298507463,165.0,,,,,,,,,
