,Unnamed: 0,Unique words in doc,Unique_occ_perc
0,ND0,417,"17,55050505"
1,ND1,408,"19,25436527"
2,ND2,488,"22,21210742"
3,ND3,410,"27,81546811"
4,ND4,235,"23,35984095"
5,ND5,646,"19,51661631"
6,ND6,390,"14,98847041"
7,ND7,271,"15,71925754"
8,ND8,626,"11,72943601"
9,ND9,379,"16,57192829"
10,ND10,556,"17,42400501"
11,ND11,455,"35,88328076"
12,ND12,434,"19,96320147"
13,ND13,255,"29,37788018"
14,ND14,317,"14,52130096"
15,ND15,437,"21,12131464"
16,ND16,169,"65,25096525"
17,ND17,517,"18,00766284"
18,ND18,291,"11,91646192"
19,ND19,565,"24,37446074"
20,ND20,370,"19,23076923"
21,ND21,421,"26,64556962"
22,D0,302,"33,00546448"
23,D1,95,50
24,D2,82,"58,15602837"
25,D3,120,"64,17112299"
26,D4,169,"57,28813559"
27,D5,507,"28,5472973"
28,D6,157,"31,46292585"
29,D7,100,"54,64480874"
30,D8,262,"16,57179001"
31,D9,331,"26,48"
32,D10,100,"41,32231405"
33,D11,231,"46,85598377"
34,D12,134,"48,20143885"
35,D13,180,"44,44444444"
36,D14,304,"32,51336898"
37,D15,417,"39,11819887"
38,D16,100,"36,49635036"
39,D17,199,"45,64220183"
40,D18,934,"13,90708755"
41,D19,238,"19,49221949"
42,D20,154,"29,44550669"
43,D21,190,"41,85022026"
44,D22,324,"24,54545455"
45,D23,165,"51,5625"
