;type;no_word;no_usefull_tokens;no_useless_tokens;noun %;verb %;adj %;pron %;adv %;prop %
Data/All_Tagged_Data/tagged_D20.txt;D;668;523;145;50,28680688;18,54684512;11,08986616;6,309751434;11,28107075;2,485659656
Data/All_Tagged_Data/tagged_D21.txt;D;519;454;65;41,18942731;23,34801762;10,79295154;6,828193833;11,89427313;5,947136564
Data/All_Tagged_Data/tagged_D23.txt;D;335;320;15;35,3125;24,0625;16,25;2,8125;14,6875;6,875
Data/All_Tagged_Data/tagged_ND19.txt;ND;2560;2318;242;45,68593615;18,59361519;9,36151855;3,192407248;11,4322692;11,73425367
Data/All_Tagged_Data/tagged_ND18.txt;ND;2643;2442;201;44,7993448;22,85012285;9,254709255;6,388206388;10,85176085;5,855855856
Data/All_Tagged_Data/tagged_D22.txt;D;1372;1320;52;50,07575758;21,81818182;11,43939394;2,803030303;7,954545455;5,909090909
Data/All_Tagged_Data/tagged_ND20.txt;ND;1996;1924;72;46,41372141;23,44074844;9,355509356;4,261954262;11,9022869;4,625779626
Data/All_Tagged_Data/tagged_ND21.txt;ND;1715;1580;135;42,15189873;24,55696203;12,46835443;4,746835443;10,94936709;5,126582278
Data/All_Tagged_Data/tagged_D19.txt;D;1305;1221;84;37,51023751;23,58722359;10,97461097;6,47010647;16,38001638;5,077805078
Data/All_Tagged_Data/tagged_ND9.txt;ND;2392;2287;105;43,72540446;20,72584171;12,81154351;4,984696108;13,6860516;4,066462615
Data/All_Tagged_Data/tagged_ND8.txt;ND;5697;5337;360;45,36256324;23,08412966;11,37343077;4,159640247;12,3290238;3,691212292
Data/All_Tagged_Data/tagged_D18.txt;D;7375;6716;659;45,86063133;25,35735557;11,67361525;4,854079809;10,45265039;1,801667659
Data/All_Tagged_Data/tagged_D0.txt;D;942;915;27;52,67759563;20;12,02185792;4,043715847;8,524590164;2,732240437
Data/All_Tagged_Data/tagged_D1.txt;D;200;190;10;47,89473684;26,31578947;11,57894737;3,157894737;8,947368421;2,105263158
Data/All_Tagged_Data/tagged_D3.txt;D;203;187;16;57,21925134;22,99465241;10,16042781;3,20855615;4,278074866;2,139037433
Data/All_Tagged_Data/tagged_D2.txt;D;148;141;7;44,68085106;21,27659574;10,63829787;4,255319149;17,0212766;2,127659574
Data/All_Tagged_Data/tagged_D6.txt;D;560;499;61;45,69138277;20,04008016;10,62124248;4,208416834;11,22244489;8,216432866
Data/All_Tagged_Data/tagged_D7.txt;D;199;183;16;33,87978142;27,86885246;13,1147541;6,557377049;15,84699454;2,732240437
Data/All_Tagged_Data/tagged_D5.txt;D;1903;1776;127;44,76351351;24,43693694;12,89414414;4,391891892;11,82432432;1,689189189
Data/All_Tagged_Data/tagged_D4.txt;D;314;295;19;44,06779661;23,05084746;14,91525424;5,762711864;11,86440678;0,338983051
Data/All_Tagged_Data/tagged_D9.txt;D;1300;1250;50;48,96;22,48;13,36;1,76;12,48;0,96
Data/All_Tagged_Data/tagged_D8.txt;D;1661;1581;80;47,6913346;24,16192283;10,1201771;4,617330803;11,13219481;2,277039848
Data/All_Tagged_Data/tagged_D15.txt;D;1136;1066;70;46,81050657;23,63977486;10,7879925;4,409005629;13,32082552;1,031894934
Data/All_Tagged_Data/tagged_ND13.txt;ND;907;868;39;45,04608295;21,77419355;9,792626728;4,953917051;13,59447005;4,838709677
Data/All_Tagged_Data/tagged_ND5.txt;ND;3658;3310;348;42,35649547;24,53172205;12,32628399;4,410876133;14,38066465;1,993957704
Data/All_Tagged_Data/tagged_ND4.txt;ND;1032;1006;26;42,94234592;27,03777336;11,72962227;4,572564612;11,53081511;2,186878728
Data/All_Tagged_Data/tagged_ND12.txt;ND;2285;2174;111;43,92824287;23,22907084;11,77552898;5,105795768;12,74149034;3,219871205
Data/All_Tagged_Data/tagged_D14.txt;D;1002;935;67;41,4973262;27,80748663;10,16042781;3,636363636;13,68983957;3,20855615
Data/All_Tagged_Data/tagged_D16.txt;D;284;274;10;49,6350365;21,53284672;9,854014599;6,204379562;11,31386861;1,459854015
Data/All_Tagged_Data/tagged_ND10.txt;ND;3482;3191;291;42,93324976;22,06204951;9,777499217;3,729238483;15,73174553;5,766217487
Data/All_Tagged_Data/tagged_ND6.txt;ND;3034;2602;432;42,54419677;27,94004612;7,571099154;5,649500384;9,723289777;6,571867794
Data/All_Tagged_Data/tagged_ND7.txt;ND;1844;1724;120;39,96519722;23,37587007;11,02088167;4,408352668;13,05104408;8,178654292
Data/All_Tagged_Data/tagged_ND11.txt;ND;1360;1268;92;45,2681388;19,87381703;13,72239748;4,968454259;13,72239748;2,444794953
Data/All_Tagged_Data/tagged_D17.txt;D;469;436;33;47,01834862;21,10091743;14,44954128;4,816513761;11,00917431;1,605504587
Data/All_Tagged_Data/tagged_D13.txt;D;432;405;27;44,9382716;26,17283951;9,62962963;3,209876543;10,12345679;5,925925926
Data/All_Tagged_Data/tagged_ND15.txt;ND;2495;2069;426;45,0459159;23,24794587;6,621556307;5,074915418;14,01643306;5,993233446
Data/All_Tagged_Data/tagged_ND3.txt;ND;1606;1474;132;41,85888738;23,6770692;9,972862958;5,088195387;14,38263229;5,020352782
Data/All_Tagged_Data/tagged_ND2.txt;ND;2355;2197;158;36,77742376;25,44378698;12,4260355;5,143377333;17,15976331;3,049613109
Data/All_Tagged_Data/tagged_ND14.txt;ND;2344;2183;161;40,31149794;25,19468621;10,71919377;4,031149794;17,86532295;1,878149336
Data/All_Tagged_Data/tagged_D12.txt;D;293;278;15;46,76258993;28,05755396;5,755395683;3,597122302;10,07194245;5,755395683
Data/All_Tagged_Data/tagged_D10.txt;D;287;242;45;49,58677686;16,11570248;8,67768595;4,545454545;8,26446281;12,80991736
Data/All_Tagged_Data/tagged_ND16.txt;ND;306;259;47;54,05405405;16,98841699;10,42471042;1,544401544;10,81081081;6,177606178
Data/All_Tagged_Data/tagged_ND0.txt;ND;2572;2376;196;47,64309764;22,47474747;7,828282828;3,787878788;13,46801347;4,797979798
Data/All_Tagged_Data/tagged_ND1.txt;ND;2283;2119;164;37,18735252;26,09721567;13,26097216;4,672015101;15,47899953;3,303445021
Data/All_Tagged_Data/tagged_ND17.txt;ND;3065;2871;194;39,32427726;21,03796587;14,94252874;3,239289446;13,20097527;8,254963427
Data/All_Tagged_Data/tagged_D11.txt;D;594;493;101;52,94117647;22,31237323;5,882352941;4,665314402;9,330628803;4,868154158
