,Length of longest word,Most common word Length,Occurence,Occurence %
ND0,27,9,442,17.51188589540412
ND1,28,9,429,18.419922713610994
ND2,26,9,422,18.11936453413482
ND3,33,9,261,16.62420382165605
ND4,22,10,178,17.248062015503876
ND5,32,9,683,18.805066079295155
ND6,25,9,537,19.44243301955105
ND7,22,9,319,17.33695652173913
ND8,34,11,893,15.886852873154242
ND9,26,9,397,16.666666666666664
ND10,35,9,613,17.788740568775392
ND11,29,9,194,14.349112426035504
ND12,26,9,384,16.83472161332749
ND13,24,9,180,19.845644983461963
ND14,25,9,372,16.020671834625322
ND15,31,9,356,15.116772823779193
ND16,24,12,34,11.564625850340136
ND17,28,9,542,17.811370358199145
ND18,36,9,513,19.468690702087287
ND19,26,9,377,14.936608557844691
ND20,26,9,349,17.48496993987976
ND21,28,9,289,17.35735735735736
