,Unique words in doc
Data/Lemma_data/ND_lemma/ND0_lemma.txt,417
Data/Lemma_data/ND_lemma/ND1_lemma.txt,408
Data/Lemma_data/ND_lemma/ND2_lemma.txt,488
Data/Lemma_data/ND_lemma/ND3_lemma.txt,410
Data/Lemma_data/ND_lemma/ND4_lemma.txt,235
Data/Lemma_data/ND_lemma/ND5_lemma.txt,646
Data/Lemma_data/ND_lemma/ND6_lemma.txt,390
Data/Lemma_data/ND_lemma/ND7_lemma.txt,271
Data/Lemma_data/ND_lemma/ND8_lemma.txt,626
Data/Lemma_data/ND_lemma/ND9_lemma.txt,379
Data/Lemma_data/ND_lemma/ND10_lemma.txt,556
Data/Lemma_data/ND_lemma/ND11_lemma.txt,455
Data/Lemma_data/ND_lemma/ND12_lemma.txt,434
Data/Lemma_data/ND_lemma/ND13_lemma.txt,255
Data/Lemma_data/ND_lemma/ND14_lemma.txt,317
Data/Lemma_data/ND_lemma/ND15_lemma.txt,437
Data/Lemma_data/ND_lemma/ND16_lemma.txt,169
Data/Lemma_data/ND_lemma/ND17_lemma.txt,517
Data/Lemma_data/ND_lemma/ND18_lemma.txt,291
Data/Lemma_data/ND_lemma/ND19_lemma.txt,565
Data/Lemma_data/ND_lemma/ND20_lemma.txt,370
Data/Lemma_data/ND_lemma/ND21_lemma.txt,421
