,Freq
['Indledning'],1
['undersøger'],1
['given'],1
['social'],1
['debatprogrammet'],1
['fællesskab'],1
['Danmarks'],1
['befolkning'],1
['studie'],1
['bestemmer'],1
['slagets'],1
['sociologiske'],1
['teorikere'],1
['pensum'],1
['kurset'],1
['rollebegreb'],1
['primære'],1
['referencepunkter'],1
['Opgaven'],1
['udgangspunkt'],1
['sæson'],1
['8'],1
['varer'],1
['ca'],1
['25'],1
['minutter'],1
['Paneldeltagerne'],1
['underholdningsbranchen'],1
['begge'],1
['sangere'],1
['entertainer'],1
['skuespillerinde'],1
['derimod'],1
['journalistisk'],1
['nyhedsrelateret'],1
['udenrigskorrespondent'],1
['journalist'],1
['stiller'],1
['sammenfatter'],1
['Programmet'],1
['teorierne'],1
['isoleret'],1
['teoriafsnit'],1
['hvorefter'],1
['empiriske'],1
['data'],1
['analyseafsnittet'],1
['analyseres'],1
['udvalgte'],1
['sidst'],1
['konkluderes'],1
['introduceres'],1
['engelske'],1
['termer'],1
['gennem'],1
['overskuelighedens'],1
['Teori'],1
['2.1'],1
['teoretiske'],1
['beskrivelser'],1
['låner'],1
['vokabulariet'],1
['dramaturgien'],1
['hverdagens'],1
['indtager'],1
['udfylder'],1
['pligterne'],1
['specifikke'],1
['skelnes'],1
['positioner'],1
['Positionen'],1
['udfylde'],1
['Positioner'],1
['symboliseret'],1
['statustegn'],1
['læges'],1
['Rollen'],1
['nærmere'],1
['krav'],1
['adskilles'],1
['rolleudførelse'],1
['faktiske'],1
['udførelse'],1
['aktiviteter'],1
['fire'],1
['tvunget'],1
['leve'],1
['fastlåst'],1
['knyttet'],1
['identificerer'],1
['Rolleomfavnelse'],1
['opsluge'],1
['forsvinde'],1
['Nogen'],1
['omfavne'],1
['mangel'],1
['Rolledistancering'],1
['karrusel'],1
['Forskelligt'],1
['barns'],1
['alder'],1
['opfører'],1
['skødesløst'],1
['uengageret'],1
['karruseltur'],1
['karrusel-kører'],1
['skifte'],1
['undervejs'],1
['fast'],1
['hånd'],1
['udtrykke'],1
['sidde'],1
['uægte'],1
['fornægter'],1
['kerneopgaven'],1
['manipulerer'],1
['stedet'],1
['Noget'],1
['vigtigt'],1
['givent'],1
['udfører'],1
['rolleadskillelse'],1
['konstant'],1
['observation'],1
['tilstedeværende'],1
['samarbejde'],1
['påtaget'],1
['overbevise'],1
['udgiver'],1
['områder'],1
['rollerne'],1
['Holdet'],1
['samarbejder'],1
['udspiller'],1
['højde'],1
['normer'],1
['følges'],1
['På'],1
['Bagscenen'],1
['skjult'],1
['falde'],1
['problematisk'],1
['holdets'],1
['hemmeligheder'],1
['2.2'],1
['Tæt'],1
['skabt'],1
['tillagte'],1
['egenskaber'],1
['refereret'],1
['eget'],1
['Dem'],1
['kommunikere'],1
