,Freq
['2a'],1
['2b'],1
['3a'],1
['3b'],1
['3c'],1
['alligevel'],1
['angst'],1
['bps'],1
['behandler'],1
['Common-sense-model'],1
['derudover'],1
['dog'],1
['efter'],1
['for'],1
['formål'],1
['hvor'],1
['ifølge'],1
['igennem'],1
['Komplian'],1
['kompliansbegreb'],1
['ligeledes'],1
['når'],1
['relation'],1
['resultat'],1
['senere'],1
['som'],1
['sygdomidentit'],1
['sygdomopfattelse'],1
['acceptere'],1
['administrere'],1
['afbryde'],1
['afhænge'],1
['afspejle'],1
['alene'],1
['altid'],1
['amputation'],1
['amputere'],1
['anbefale'],1
['anbefaling'],1
['anden'],1
['antage'],1
['autonomi'],1
['autoritet'],1
['autoritær'],1
['bakterie'],1
['bange'],1
['befinde'],1
['begyndelse'],1
['behandlingsforløb'],1
['behandlingsplane'],1
['bekostning'],1
['belaste'],1
['benytte'],1
['beslutning'],1
['betegne'],1
['biopsykosocial'],1
['blik'],1
['blodomløb'],1
['cope'],1
['copingstrategie'],1
['dagligdag'],1
['del'],1
['dels'],1
['derfor'],1
['derfra'],1
['diabetes-diagnose'],1
['diabetesvenlig'],1
['diagnos'],1
['diagnosticere'],1
['dårligt'],1
['ende'],1
['enighed'],1
['ens'],1
['enten'],1
['være'],1
['feedback'],1
['mange'],1
['foden'],1
['forbedring'],1
['forbindelse'],1
['forestilling'],1
['foretage'],1
['forklare'],1
['forløb'],1
['formode'],1
['forskellig'],1
['forskrift'],1
['forståelse'],1
['forsvinde'],1
['forvente'],1
['forælder'],1
['forældren'],1
['frihed'],1
['funktionel'],1
['fællesskab'],1
['fænomen'],1
['følelsesmæssig'],1
['føre'],1
['gammeldags'],1
['gang'],1
['gavne'],1
['gen'],1
['generelt'],1
['gerne'],1
['glemme'],1
['guide'],1
['gå'],1
['handling'],1
['helhed'],1
['hensyn'],1
['hensyntagen'],1
['hinanden'],1
['holde'],1
['hverdag'],1
['hverdagsviden'],1
['hvorfor'],1
['hyppig'],1
['højde'],1
['idet'],1
['igen'],1
['imellem'],1
['individ'],1
['individuel'],1
['informere'],1
['ingen'],1
['interagere'],1
['karakter'],1
['kompliante'],1
['komplikation'],1
['komponent'],1
['konstant'],1
['koplians'],1
['kræve'],1
['levemåde'],1
['lide'],1
['lidelse'],1
['lige'],1
['ligeværdighed'],1
['lægebillet'],1
['løb'],1
['medicin'],1
['medicine'],1
['medicinering'],1
['motionere'],1
['mulig'],1
['munde'],1
['måtte'],1
['måske'],1
['navn'],1
['navngive'],1
['nede'],1
['nemlig'],1
['nem'],1
['neutral'],1
['nonkomplians'],1
['nonkompliante'],1
['nyde'],1
['nægte'],1
['nødvendig'],1
['nøjes'],1
['omkring'],1
['omslutte'],1
['omstændighed'],1
['opbygge'],1
['ovenfor'],1
['overbevisning'],1
['over'],1
['part'],1
['pasning'],1
['patientcentrer'],1
['personlig'],1
['plads'],1
['plan'],1
['positiv'],1
['potentiel'],1
['problemfokuseret'],1
['prøve'],1
['regelmæssig'],1
['ren'],1
['repræsentation'],1
['risiko'],1
['rolig'],1
['rutin'],1
['række'],1
['samspil'],1
['samtale'],1
['sikre'],1
['situation'],1
['skabe'],1
['skifte'],1
['skole'],1
['slet'],1
['smitte'],1
['socialt'],1
['somatisk'],1
['spektrum'],1
['stabil'],1
['stationær'],1
['sted'],1
['stemme'],1
['stille'],1
['stramme'],1
['stressende'],1
['studere'],1
['studie'],1
['styre'],1
['stå'],1
['stærkt'],1
['støtte'],1
['sundhedsvæsen'],1
['svinge'],1
['sygdomshåndtering'],1
['syn'],1
['tid'],1
['tilgang'],1
['tilsigt'],1
['ting'],1
['to'],1
['tværfagligt'],1
['tænkelig'],1
['uden'],1
['udredning'],1
['udvikling'],1
['uhensigtsmæssig'],1
['underkende'],1
['undervisning'],1
['undgående'],1
['ustabil'],1
['vable'],1
['vant'],1
['variation'],1
['velkontrollere'],1
['virus'],1
['vise'],1
,1
