,D_or_ND,File,max_word_length,Most_common_word_length,Occurence,Occurence_perc,Unique_words_in_doc,no_words,no_useful_tokens,no_useless_tokens,Noun_perc,Verb_perc,Adj_perc,Pron_perc,Adv_perc,Prop_perc
0,ND,ND0,27,9,442,17.51188589540412,417,2572,2376,196,47.64309764309764,22.47474747474748,7.82828282828283,3.787878787878788,13.468013468013467,4.797979797979798
1,ND,ND1,28,9,429,18.419922713611,408,2283,2119,164,37.18735252477583,26.09721566776781,13.260972156677678,4.6720151014629545,15.478999528079285,3.303445021236432
2,ND,ND2,26,9,422,18.11936453413482,488,2355,2197,158,36.77742375967228,25.443786982248522,12.426035502958579,5.143377332726447,17.159763313609467,3.0496131087847065
3,ND,ND3,33,9,261,16.62420382165605,410,1606,1474,132,41.85888738127544,23.677069199457264,9.972862957937584,5.088195386702849,14.382632293080055,5.020352781546811
4,ND,ND4,22,10,178,17.248062015503873,235,1032,1006,26,42.942345924453285,27.03777335984095,11.72962226640159,4.572564612326044,11.530815109343937,2.1868787276341948
5,ND,ND5,32,9,683,18.805066079295155,646,3658,3310,348,42.356495468277934,24.531722054380666,12.326283987915408,4.410876132930514,14.380664652567976,1.9939577039274925
6,ND,ND6,25,9,537,19.44243301955105,390,3034,2602,432,42.54419677171406,27.940046118370482,7.571099154496541,5.6495003843197535,9.723289777094543,6.571867794004612
7,ND,ND7,22,9,319,17.33695652173913,271,1844,1724,120,39.96519721577726,23.37587006960557,11.020881670533642,4.408352668213457,13.051044083526685,8.178654292343388
8,ND,ND8,34,11,893,15.886852873154242,626,5697,5337,360,45.36256323777402,23.08412966085816,11.373430766348136,4.1596402473299605,12.329023796140154,3.6912122915495593
9,ND,ND9,26,9,397,16.666666666666664,379,2392,2287,105,43.725404459991246,20.72584171403585,12.811543506777436,4.984696108439002,13.686051595977268,4.066462614779186
10,ND,ND10,35,9,613,17.788740568775392,556,3482,3191,291,42.93324976496396,22.062049514258852,9.777499216546536,3.729238483234096,15.731745534315259,5.766217486681291
11,ND,ND11,29,9,194,14.349112426035507,455,1360,1268,92,45.26813880126184,19.87381703470032,13.722397476340694,4.968454258675079,13.722397476340694,2.4447949526813884
12,ND,ND12,26,9,384,16.834721613327492,434,2285,2174,111,43.92824287028519,23.229070837166514,11.775528978840844,5.105795768169274,12.741490340386386,3.219871205151794
13,ND,ND13,24,9,180,19.845644983461963,255,907,868,39,45.04608294930875,21.774193548387093,9.7926267281106,4.9539170506912455,13.594470046082947,4.838709677419357
14,ND,ND14,25,9,372,16.020671834625322,317,2344,2183,161,40.311497938616576,25.194686211635364,10.719193770041226,4.031149793861658,17.86532295006871,1.8781493357764545
15,ND,ND15,31,9,356,15.116772823779195,437,2495,2069,426,45.04591590140164,23.247945867568873,6.6215563073948775,5.074915418076365,14.01643305944901,5.993233446109231
16,ND,ND16,24,12,34,11.564625850340136,169,306,259,47,54.05405405405406,16.988416988416983,10.424710424710424,1.5444015444015444,10.810810810810812,6.177606177606178
17,ND,ND17,28,9,542,17.811370358199145,517,3065,2871,194,39.32427725531174,21.03796586555207,14.942528735632186,3.2392894461859982,13.200975269940784,8.254963427377223
