,Freq
['forfatter'],1
['Introduktion'],1
['2018'],1
['udkommer'],1
['udgivelsen'],1
['medvirker'],1
['Heri'],1
['astmatisk'],1
['bronkitis'],1
['gik'],1
['navnet'],1
['Behandlingerne'],1
['fysisk'],1
['mentalt'],1
['virkelig'],1
['navn'],1
['Ellen'],1
['Anna'],1
['Margrethe'],1
['Christensen'],1
['Kvindens'],1
['viser'],1
['mest'],1
['berygtede'],1
['danske'],1
['spioner'],1
['torturbødler'],1
['nazitiden'],1
['Behovet'],1
['stærkt'],1
['følger'],1
['hovedpersonen'],1
['oplever'],1
['healende'],1
['gjorde'],1
['ungdom'],1
['mens'],1
['fortsat'],1
['modsat'],1
['opgave'],1
['hovedfokus'],1
['Analysen'],1
['hovedsageligt'],1
['bygge'],1
['teori'],1
['primært'],1
['rettet'],1
['Efter'],1
['analysen'],1
['argumentation'],1
['nedskrive'],1
['version'],1
['Til'],1
['foretaget'],1
['Målet'],1
['besvare'],1
['problemformulering'],1
['Hvilken'],1
['henholdsvis'],1
['fuldt'],1
['formet'],1
['fokuserer'],1
['består'],1
['1'],1
['Abstract'],1
['2'],1
['3'],1
['4'],1
['5'],1
['Løsning'],1
['6'],1
['Abstractet'],1
['opsummering'],1
['henviser'],1
['introduktion'],1
['steder'],1
['relevante'],1
['udvikle'],1
['evalueringsfasen'],1
['signalerer'],1
['lytteren'],1
['pause'],1
['tidsstruktur'],1
['positionering'],1
['løsningen'],1
['komplikationen'],1
['løst'],1
['afsluttende'],1
['Indholdet'],1
['coda'],1
['binder'],1
['tilføje'],1
['stede'],1
['før'],1
['mening'],1
['dannelse'],1
['menneskerne'],1
['brudt'],1
['sjældent'],1
['opleves'],1
['omverdenens'],1
['45'],1
['podcastmagasinet'],1
['Igennem'],1
['kriminel'],1
['identiet'],1
['fremmest'],1
['kigget'],1
['overhovedet'],1
['benyttet'],1
['minutter'],1
['orienterer'],1
['starten'],1
['Og'],1
['fortsætter'],1
['Lidt'],1
['introducerer'],1
['side'],1
['fornyeligt'],1
['kendskab'],1
['helt'],1
['usædvanligt'],1
['stærk'],1
['Disse'],1
['citater'],1
['orienteringen'],1
['hænger'],1
['interesserer'],1
['fylde'],1
['situationer'],1
['fornemmelse'],1
['behandlinger'],1
['påvirkede'],1
['ændrer'],1
['berører'],1
['lave'],1
['igen'],1
['kæmpede'],1
['modstandsbevægelser'],1
['kategori'],1
['stak'],1
['torturerede'],1
['tænker'],1
['rigtigt'],1
['Familiens'],1
['gange'],1
['skyldig'],1
['fornemmelsen'],1
['slutteligt'],1
['komplikationerne'],1
['voksen'],1
['konfronteret'],1
['give'],1
['vide'],1
['engang'],1
['hjalp'],1
['svær'],1
['rystende'],1
['afsløring'],1
['kriminelle'],1
['liv'],1
['afsløringen'],1
['dét'],1
['forfærdelige'],1
['stærke'],1
['bør'],1
['sættes'],1
['godt'],1
['argument'],1
['ærgrelsen'],1
['behovet'],1
['beskrivende'],1
['orienteringerne'],1
['beskrivelser'],1
['findes'],1
['Tilstedeværelsen'],1
['god'],1
['klassificere'],1
['Formålet'],1
['kun'],1
['indirekte'],1
['ikke-fiktion'],1
['identitetsskabelse'],1
['Fiktive'],1
['fordi'],1
['Lessingers'],1
['livsfortælling'],1
['Ved'],1
['personerne'],1
['prøver'],1
['Fictional'],1
['Factual'],1
['Gentte'],1
['kategorien'],1
['adskille'],1
['tekst'],1
['stort'],1
['forfatterens'],1
['stemme'],1
['forfatteren'],1
['oplevelserne'],1
['tilknyttet'],1
['forklarer'],1
['slags'],1
['besked'],1
['tilbage'],1
['Med'],1
['sætte'],1
['samtidig'],1
['distancere'],1
['oplevelsen'],1
['snakker'],1
['ses'],1
['særlig'],1
['tilkobles'],1
['stillet'],1
['krav'],1
['kender'],1
['brugen'],1
['fiktionsindikator'],1
['Free'],1
['tredje'],1
['inddrager'],1
['tale'],1
['normalt'],1
['karakteristisk'],1
['persons'],1
['følelse'],1
['Denne'],1
['frie'],1
['brug'],1
['grundene'],1
['koble'],1
['præcise'],1
['endnu'],1
['opfylde'],1
['tingene'],1
['eksempler'],1
['indblik'],1
['stiller'],1
['gengivet'],1
['ordret'],1
['foregå'],1
['Loumanns'],1
['aldrig'],1
['muligt'],1
['berette'],1
['Et'],1
['boget'],1
['inde'],1
['hoved'],1
['Måske'],1
['Richard'],1
['Walsh'],1
['bedre'],1
['spørge'],1
['effektiv'],1
['kommunikere'],1
['ønskede'],1
['ej'],1
['påstår'],1
['forstå'],1
['modsatte'],1
['type'],1
['interessant'],1
['gå'],1
['dybden'],1
['belyse'],1
['fremgår'],1
['tæt'],1
['forbundet'],1
['lige'],1
['forlængelse'],1
['indefra'],1
['erindringer'],1
['overbevisninger'],1
['præger'],1
['ligeså'],1
['vel'],1
['udefra'],1
['andres'],1
['anseelser'],1
['lever'],1
['påvirker'],1
['kontinuerlig'],1
['proces'],1
['drejer'],1
['samt'],1
['selvfølelse'],1
['tre'],1
['navigere'],1
['unikhed'],1
['ligesom'],1
['forholdet'],1
['fortællere'],1
['komme'],1
['small'],1
['store'],1
['livsfortællinger'],1
['big'],1
['få'],1
['indsigt'],1
['argumentere'],1
['lag'],1
['ungdomsår'],1
['behandlingerne'],1
['tankerne'],1
['bag'],1
['ført'],1
['skrev'],1
['forskelligt'],1
['18-årige'],1
['indikatorer'],1
['World-to-self'],1
['størst'],1
['skete'],1
['svarer'],1
['ærinde'],1
['styre'],1
['begivenhedernes'],1
['gang'],1
['Da'],1
['Self-to-world'],1
['udtaler'],1
['inden'],1
['besluttede'],1
['overvejede'],1
['hårdt'],1
['romanskrivningen'],1
['virkede'],1
['svære'],1
['aktivt'],1
['Ikke'],1
['nedskriver'],1
['bevidst'],1
['udtryk'],1
['underbygger'],1
['påstanden'],1
['verdenen'],1
['vej'],1
['rundt'],1
['Kobler'],1
['argumenter'],1
['Bambergs'],1
['selvfortælling'],1
['indre'],1
['Udvendige'],1
['faktorer'],1
['hinanden'],1
['medlemmer'],1
['kulturer'],1
['spille'],1
['overensstemmelse'],1
['tydeligt'],1
['modstandskultur'],1
['hørt'],1
['historier'],1
['synes'],1
['skammeligt'],1
['Tidligere'],1
['Som'],1
['følge'],1
['udtalelse'],1
['differentierer'],1
['stået'],1
['integrerer'],1
['familiemedlemmers'],1
['modstandsfolk'],1
['Konklusion'],1
['orientere'],1
['evaluere'],1
['personen'],1
['overraskende'],1
['Hun'],1
['afviger'],1
['sædvanlige'],1
['forventede'],1
['interwievet'],1
['beretter'],1
['fundet'],1
['nazispion'],1
['torturbøddel'],1
['Anden'],1
['fandt'],1
['karakter'],1
['tog'],1
['identiteter'],1
['fremstilles'],1
['bare'],1
['ladet'],1
['influere'],1
['stille'],1
['faresignaler'],1
['vedrørende'],1
['belyst'],1
['Yderligere'],1
['kalder'],1
['finde'],1
['konfronterer'],1
['Lennsinger'],1
['viden'],1
['Fiktionsgenren'],1
['eksperimentere'],1
['ideer'],1
['mon'],1
['reageret'],1
['chancen'],1
['gør'],1
['Interviewet'],1
['anderledes'],1
['Har'],1
['klart'],1
['krigen'],1
['Kort'],1
['fortalt'],1
['lade'],1
['læseren'],1
['Samtidig'],1
['fremstille'],1
['forandret'],1
['fremskriver'],1
['integreret'],1
['kulturelle'],1
['gennem'],1
,1
