,Unnamed: 0.1,D_or_ND,max_word_length,Most_common_word_length,Occurence_perc,Unique_occ_perc,Noun_perc,Verb_perc,Adj_perc,Pron_perc,Adv_perc,Prop_perc,max_word_length_quar,Most_common_word_length_quar,Occurence_perc_quar,Unique_occ_perc_quar,Noun_perc_quar,Verb_perc_quar,Adj_perc_quar,Pron_perc_quar,Adv_perc_quar,Prop_perc_quar
0,0,ND,23,5,17.51188589540412,17.55050505,47.64309764309764,22.47474747474748,7.82828282828283,3.787878787878788,13.468013468013467,4.797979797979798,3,1,3,1,4,2,1,2,3,3
1,1,ND,24,5,18.419922713611,19.25436527,37.18735252477583,26.09721566776781,13.260972156677678,4.6720151014629545,15.478999528079285,3.303445021236432,3,1,4,2,1,4,4,3,4,2
2,2,ND,22,5,18.11936453413482,22.21210742,36.77742375967228,25.443786982248522,12.426035502958579,5.143377332726447,17.159763313609467,3.0496131087847065,2,1,4,2,1,4,4,4,4,2
3,3,ND,29,5,16.62420382165605,27.81546811,41.85888738127544,23.677069199457264,9.972862957937584,5.088195386702849,14.382632293080055,5.020352781546811,4,1,2,3,1,3,2,4,4,3
4,4,ND,18,6,17.248062015503873,23.35984095,42.942345924453285,27.03777335984095,11.72962226640159,4.572564612326044,11.530815109343937,2.1868787276341948,1,4,3,2,2,4,3,3,2,2
5,5,ND,28,5,18.805066079295155,19.51661631,42.356495468277934,24.531722054380666,12.326283987915408,4.410876132930514,14.380664652567976,1.9939577039274925,4,1,4,2,2,3,3,2,4,1
6,6,ND,21,5,19.44243301955105,14.98847041,42.54419677171406,27.940046118370482,7.571099154496541,5.6495003843197535,9.723289777094543,6.571867794004612,2,1,4,1,2,4,1,4,1,4
7,7,ND,18,5,17.33695652173913,15.71925754,39.96519721577726,23.37587006960557,11.020881670533642,4.408352668213457,13.051044083526685,8.178654292343388,1,1,3,1,1,3,3,2,3,4
8,8,ND,30,7,15.886852873154242,11.72943601,45.36256323777402,23.08412966085816,11.373430766348136,4.1596402473299605,12.329023796140154,3.6912122915495593,4,4,2,1,3,2,3,2,3,2
9,9,ND,22,5,16.666666666666664,16.57192829,43.725404459991246,20.72584171403585,12.811543506777436,4.984696108439002,13.686051595977268,4.066462614779186,2,1,2,1,2,1,4,3,3,3
10,10,ND,31,5,17.788740568775392,17.42400501,42.93324976496396,22.062049514258852,9.777499216546536,3.729238483234096,15.731745534315259,5.766217486681291,4,1,3,1,2,2,1,1,4,3
